word,rule_based,correct
रास्ते,⠗⠜⠎⠈⠞⠑,⠗⠜⠈⠎⠞⠑
उत्साह,⠥⠞⠈⠎⠜⠓,⠥⠈⠞⠎⠜⠓
भ्रमण,⠘⠈⠗⠍⠼,⠈⠘⠗⠍⠼
प्राकृतिक,⠏⠈⠗⠜⠅⠐⠗⠞⠊⠅,⠈⠏⠗⠜⠅⠐⠗⠞⠊⠅
श्वास,⠩⠈⠧⠜⠎,⠈⠩⠧⠜⠎
ऑक्सीजन,⠭⠅⠈⠎⠔⠚⠝,⠭⠈⠅⠎⠔⠚⠝
सब्जियाँ,⠎⠃⠈⠚⠊⠽⠜⠄,⠎⠈⠃⠚⠊⠽⠜⠄
पर्यावरण,⠏⠗⠈⠽⠜⠧⠗⠼,⠏⠈⠗⠽⠜⠧⠗⠼
दोस्त,⠙⠕⠎⠈⠞,⠙⠕⠈⠎⠞
प्रोत्साहित,⠏⠈⠗⠕⠞⠈⠎⠜⠓⠊⠞,⠈⠏⠗⠕⠈⠞⠎⠜⠓⠊⠞
शान्त,⠩⠜⠝⠈⠞,⠩⠜⠈⠝⠞
स्थित,⠎⠈⠹⠊⠞,⠈⠎⠹⠊⠞
पर्वतारोहियों,⠏⠗⠈⠧⠞⠜⠗⠕⠓⠊⠽⠕⠰,⠏⠈⠗⠧⠞⠜⠗⠕⠓⠊⠽⠕⠰
प्रतिष्ठित,⠏⠈⠗⠞⠊⠯⠈⠺⠊⠞,⠈⠏⠗⠞⠊⠈⠯⠺⠊⠞
गंतव्य,⠛⠰⠞⠧⠈⠽,⠛⠰⠞⠈⠧⠽
उपलब्धि,⠥⠏⠇⠃⠈⠮⠊,⠥⠏⠇⠈⠃⠮⠊
पर्वतारोही,⠏⠗⠈⠧⠞⠜⠗⠕⠓⠔,⠏⠈⠗⠧⠞⠜⠗⠕⠓⠔
बर्फबारी,⠃⠗⠈⠋⠃⠜⠗⠔,⠃⠈⠗⠋⠃⠜⠗⠔
चट्टानों,⠉⠾⠈⠾⠜⠝⠕⠰,⠉⠈⠾⠾⠜⠝⠕⠰
अप्रत्याशित,⠁⠏⠈⠗⠞⠈⠽⠜⠩⠊⠞,⠁⠈⠏⠗⠈⠞⠽⠜⠩⠊⠞
माध्यम,⠍⠜⠮⠈⠽⠍,⠍⠜⠈⠮⠽⠍
विश्वासघाती,⠧⠊⠩⠈⠧⠜⠎⠣⠜⠞⠔,⠧⠊⠈⠩⠧⠜⠎⠣⠜⠞⠔
मृत्यु,⠍⠐⠗⠞⠈⠽⠥,⠍⠐⠗⠈⠞⠽⠥
आकर्षित,⠜⠅⠗⠈⠯⠊⠞,⠜⠅⠈⠗⠯⠊⠞
वर्क,⠧⠗⠈⠅,⠧⠈⠗⠅
गाइडों,⠛⠜⠊⠫⠕⠰,⠛⠜⠊⠫⠕⠰
हिमस्खलन,⠓⠊⠍⠎⠈⠨⠇⠝,⠓⠊⠍⠈⠎⠨⠇⠝
अत्यधिक,⠁⠞⠈⠽⠮⠊⠅,⠁⠈⠞⠽⠮⠊⠅
उपयुक्त,⠥⠏⠽⠥⠅⠈⠞,⠥⠏⠽⠥⠈⠅⠞
सुसज्जित,⠎⠥⠎⠚⠈⠚⠊⠞,⠎⠥⠎⠈⠚⠚⠊⠞
बल्कि,⠃⠇⠈⠅⠊,⠃⠈⠇⠅⠊
व्यवस्था,⠧⠈⠽⠧⠎⠈⠹⠜,⠈⠧⠽⠧⠈⠎⠹⠜
सद्भावना,⠎⠙⠈⠘⠜⠧⠝⠜,⠎⠈⠙⠘⠜⠧⠝⠜
अनुच्छेद,⠁⠝⠥⠉⠈⠡⠑⠙,⠁⠝⠥⠈⠉⠡⠑⠙
स्पष्ट,⠎⠈⠏⠯⠈⠾,⠈⠎⠏⠈⠯⠾
मुहम्मद,⠍⠥⠓⠍⠈⠍⠙,⠍⠥⠓⠈⠍⠍⠙
चैतन्य,⠉⠌⠞⠝⠈⠽,⠉⠌⠞⠈⠝⠽
माध्यम,⠍⠜⠮⠈⠽⠍,⠍⠜⠈⠮⠽⠍
मनुष्य,⠍⠝⠥⠯⠈⠽,⠍⠝⠥⠈⠯⠽
कल्याण,⠅⠇⠈⠽⠜⠼,⠅⠈⠇⠽⠜⠼
निर्देश,⠝⠊⠗⠈⠙⠑⠩,⠝⠊⠈⠗⠙⠑⠩
रक्तपात,⠗⠅⠈⠞⠏⠜⠞,⠗⠈⠅⠞⠏⠜⠞
उत्पन्न,⠥⠞⠈⠏⠝⠈⠝,⠥⠈⠞⠏⠈⠝⠝
प्रशस्त,⠏⠈⠗⠩⠎⠈⠞,⠈⠏⠗⠩⠈⠎⠞
स्मरणीय,⠎⠈⠍⠗⠼⠔⠽,⠈⠎⠍⠗⠼⠔⠽
कई,⠅⠔,⠅⠁⠔
डीएनए,⠫⠔⠑⠝⠑,⠫⠔⠑⠝⠁⠑
नए,⠝⠑,⠝⠁⠑
गए,⠛⠑,⠛⠁⠑
भए,⠘⠑,⠘⠁⠑
कई,⠅⠔,⠅⠁⠔
दबंगई,⠙⠃⠰⠛⠔,⠙⠃⠰⠛⠁⠔
मई,⠍⠔,⠍⠁⠔
ज़िम्मेवारी,⠐⠚⠊⠍⠈⠍⠑⠧⠜⠗⠔,⠐⠚⠊⠈⠍⠍⠑⠧⠜⠗⠔
फ़िलिस्तीनी,⠋⠐⠊⠇⠊⠎⠈⠞⠔⠝⠔,⠐⠋⠊⠇⠊⠈⠎⠞⠔⠝⠔
फ़िदा,⠋⠐⠊⠙⠜,⠐⠋⠊⠙⠜
फ़िल्म,⠋⠐⠊⠇⠈⠍,⠐⠋⠊⠈⠇⠍
फ़ोन,⠋⠐⠕⠝,⠐⠋⠕⠝
उच्च,⠥⠉⠈⠉,⠥⠈⠉⠉
उच्च,⠥⠉⠈⠉,⠥⠈⠉⠉
वर्षों,⠧⠗⠈⠯⠕⠰,⠧⠈⠗⠯⠕⠰
सच्चिदानंद,⠎⠉⠈⠉⠊⠙⠜⠝⠰⠙,⠎⠈⠉⠉⠊⠙⠜⠝⠰⠙
सिन्हा,⠎⠊⠝⠈⠓⠜,⠎⠊⠈⠝⠓⠜
प्रबंध,⠏⠈⠗⠃⠰⠮,⠈⠏⠗⠃⠰⠮
उपयुक्त,⠥⠏⠽⠥⠅⠈⠞,⠥⠏⠽⠥⠈⠅⠞
आवश्यकता,⠜⠧⠩⠈⠽⠅⠞⠜,⠜⠧⠈⠩⠽⠅⠞⠜
उत्तरदायित्व,⠥⠞⠈⠞⠗⠙⠜⠽⠊⠞⠈⠧,⠥⠈⠞⠞⠗⠙⠜⠽⠊⠈⠞⠧
जगदीशचंद्र,⠚⠛⠙⠔⠩⠉⠰⠙⠈⠗,⠚⠛⠙⠔⠩⠉⠰⠈⠙⠗
सन्,⠎⠝⠈,⠎⠈⠝
स्वर,⠎⠈⠧⠗,⠈⠎⠧⠗
मुख्यमंत्री,⠍⠥⠨⠈⠽⠍⠰⠈⠞⠗⠔,⠍⠥⠈⠨⠽⠍⠰⠈⠞⠗⠔
गवर्नर,⠛⠧⠗⠈⠝⠗,⠛⠧⠈⠗⠝⠗
स्पस्ट,⠎⠈⠏⠎⠈⠾,⠈⠎⠏⠈⠎⠾
वस्तुतः,⠧⠎⠈⠞⠥⠞⠠,⠧⠈⠎⠞⠥⠞⠠
व्यक्ति,⠧⠈⠽⠅⠈⠞⠊,⠈⠧⠽⠈⠅⠞⠊
साहित्योन्नति,⠎⠜⠓⠊⠞⠈⠽⠕⠝⠈⠝⠞⠊,⠎⠜⠓⠊⠈⠞⠽⠕⠈⠝⠝⠞⠊
अत्यंत,⠁⠞⠈⠽⠰⠞,⠁⠈⠞⠽⠰⠞
पुष्टि,⠏⠥⠯⠈⠾⠊,⠏⠥⠈⠯⠾⠊
सभ्यता,⠎⠘⠈⠽⠞⠜,⠎⠈⠘⠽⠞⠜
आविष्कार,⠜⠧⠊⠯⠈⠅⠜⠗,⠜⠧⠊⠈⠯⠅⠜⠗
स्थान,⠎⠈⠹⠜⠝,⠈⠎⠹⠜⠝
विद्वज्जनों,⠧⠊⠙⠈⠧⠚⠈⠚⠝⠕⠰,⠧⠊⠈⠙⠧⠈⠚⠚⠝⠕⠰
अतिरिक्त,⠁⠞⠊⠗⠊⠅⠈⠞,⠁⠞⠊⠗⠊⠈⠅⠞
सभ्यता,⠎⠘⠈⠽⠞⠜,⠎⠈⠘⠽⠞⠜
सद्भावना,⠎⠙⠈⠘⠜⠧⠝⠜,⠎⠈⠙⠘⠜⠧⠝⠜
बुद्ध,⠃⠥⠙⠈⠮,⠃⠥⠈⠙⠮
मुहम्मद,⠍⠥⠓⠍⠈⠍⠙,⠍⠥⠓⠈⠍⠍⠙
मनुष्य,⠍⠝⠥⠯⠈⠽,⠍⠝⠥⠈⠯⠽
कल्याण,⠅⠇⠈⠽⠜⠼,⠅⠈⠇⠽⠜⠼
निर्देश,⠝⠊⠗⠈⠙⠑⠩,⠝⠊⠈⠗⠙⠑⠩
अस्त्र,⠁⠎⠈⠈⠞⠗,⠁⠈⠎⠈⠞⠗
पृथ्वी,⠏⠐⠗⠹⠈⠧⠔,⠏⠐⠗⠈⠹⠧⠔
रक्तपात,⠗⠅⠈⠞⠏⠜⠞,⠗⠈⠅⠞⠏⠜⠞
अनर्थ,⠁⠝⠗⠈⠹,⠁⠝⠈⠗⠹
विश्वासजनित,⠧⠊⠩⠈⠧⠜⠎⠚⠝⠊⠞,⠧⠊⠈⠩⠧⠜⠎⠚⠝⠊⠞
वैमनस्य,⠧⠌⠍⠝⠎⠈⠽,⠧⠌⠍⠝⠈⠎⠽
महत्त्व,⠍⠓⠞⠈⠞⠈⠧,⠍⠓⠈⠞⠈⠞⠧
उत्पन्न,⠥⠞⠈⠏⠝⠈⠝,⠥⠈⠞⠏⠈⠝⠝
व्यापक,⠧⠈⠽⠜⠏⠅,⠈⠧⠽⠜⠏⠅
शक्ति,⠩⠅⠈⠞⠊,⠩⠈⠅⠞⠊
इच्छा,⠊⠉⠈⠡⠜,⠊⠈⠉⠡⠜
व्यक्ति,⠧⠈⠽⠅⠈⠞⠊,⠈⠧⠽⠈⠅⠞⠊
प्राप्त,⠏⠈⠗⠜⠏⠈⠞,⠈⠏⠗⠜⠈⠏⠞
प्रशस्त,⠏⠈⠗⠩⠎⠈⠞,⠈⠏⠗⠩⠈⠎⠞
महत्त्वपूर्ण,⠍⠓⠞⠈⠞⠈⠧⠏⠳⠗⠈⠼,⠍⠓⠈⠞⠈⠞⠧⠏⠳⠈⠗⠼
अध्यापक,⠁⠮⠈⠽⠜⠏⠅,⠁⠈⠮⠽⠜⠏⠅
तुम्हें,⠞⠥⠍⠈⠓⠑⠰,⠞⠥⠈⠍⠓⠑⠰
समस्याओं,⠎⠍⠎⠈⠽⠜⠕⠰,⠎⠍⠈⠎⠽⠜⠕⠰
सर्वोच्च,⠎⠗⠈⠧⠕⠉⠈⠉,⠎⠈⠗⠧⠕⠈⠉⠉
संकल्प,⠎⠰⠅⠇⠈⠏,⠎⠰⠅⠈⠇⠏
सर्वत्र,⠎⠗⠈⠧⠈⠞⠗,⠎⠈⠗⠧⠈⠞⠗
द्वारा,⠙⠈⠧⠜⠗⠜,⠈⠙⠧⠜⠗⠜
व्यर्थ,⠧⠈⠽⠗⠈⠹,⠈⠧⠽⠈⠗⠹
पश्चाताप,⠏⠩⠈⠉⠜⠞⠜⠏,⠏⠈⠩⠉⠜⠞⠜⠏
तर्कशक्ति,⠞⠗⠈⠅⠩⠅⠈⠞⠊,⠞⠈⠗⠅⠩⠈⠅⠞⠊
अमूल्य,⠁⠍⠳⠇⠈⠽,⠁⠍⠳⠈⠇⠽
मानव-सभ्यता,⠍⠜⠝⠧⠤⠎⠘⠈⠽⠞⠜,⠍⠜⠝⠧⠤⠎⠈⠘⠽⠞⠜
ग्रस्त,⠛⠈⠗⠎⠈⠞,⠈⠛⠗⠈⠎⠞
प्रवृत्त,⠏⠈⠗⠧⠐⠗⠞⠈⠞,⠈⠏⠗⠧⠐⠗⠈⠞⠞
साम्राज्य,⠎⠜⠍⠈⠗⠜⠚⠈⠽,⠎⠜⠈⠍⠗⠜⠈⠚⠽
शब्दों,⠩⠃⠈⠙⠕⠰,⠩⠈⠃⠙⠕⠰
ध्यान,⠮⠈⠽⠜⠝,⠈⠮⠽⠜⠝
क्योंकि,⠅⠈⠽⠕⠰⠅⠊,⠈⠅⠽⠕⠰⠅⠊
सम्मानजनक,⠎⠍⠈⠍⠜⠝⠚⠝⠅,⠎⠈⠍⠍⠜⠝⠚⠝⠅
क्लिष्ट,⠅⠈⠇⠊⠯⠈⠾,⠈⠅⠇⠊⠈⠯⠾
व्यक्तित्व,⠧⠈⠽⠅⠈⠞⠊⠞⠈⠧,⠈⠧⠽⠈⠅⠞⠊⠈⠞⠧
वास्तव,⠧⠜⠎⠈⠞⠧,⠧⠜⠈⠎⠞⠧
आकर्षित,⠜⠅⠗⠈⠯⠊⠞,⠜⠅⠈⠗⠯⠊⠞
त्यागकर,⠞⠈⠽⠜⠛⠅⠗,⠈⠞⠽⠜⠛⠅⠗
मध्यम,⠍⠮⠈⠽⠍,⠍⠈⠮⠽⠍
सामर्थ्य,⠎⠜⠍⠗⠈⠹⠈⠽,⠎⠜⠍⠈⠗⠈⠹⠽
सामान्य,⠎⠜⠍⠜⠝⠈⠽,⠎⠜⠍⠜⠈⠝⠽
मूल्यांकन,⠍⠳⠇⠈⠽⠜⠰⠅⠝,⠍⠳⠈⠇⠽⠜⠰⠅⠝
फलस्वरूप,⠋⠇⠎⠈⠧⠗⠳⠏,⠋⠇⠈⠎⠧⠗⠳⠏
अवश्य,⠁⠧⠩⠈⠽,⠁⠧⠈⠩⠽
उत्पन्न,⠥⠞⠈⠏⠝⠈⠝,⠥⠈⠞⠏⠈⠝⠝
ईश्वर,⠔⠩⠈⠧⠗,⠔⠈⠩⠧⠗
कस्बों,⠅⠎⠈⠃⠕⠰,⠅⠈⠎⠃⠕⠰
असंतुष्ट,⠁⠎⠰⠞⠥⠯⠈⠾,⠁⠎⠰⠞⠥⠈⠯⠾
चीज़,⠉⠔⠚⠐,⠉⠔⠐⠚
निश्चित,⠝⠊⠩⠈⠉⠊⠞,⠝⠊⠈⠩⠉⠊⠞
सच्चे,⠎⠉⠈⠉⠑,⠎⠈⠉⠉⠑
आत्मा,⠜⠞⠈⠍⠜,⠜⠈⠞⠍⠜
स्वीकार,⠎⠈⠧⠔⠅⠜⠗,⠈⠎⠧⠔⠅⠜⠗
अस्तित्व,⠁⠎⠈⠞⠊⠞⠈⠧,⠁⠈⠎⠞⠊⠈⠞⠧
आत्महत्या,⠜⠞⠈⠍⠓⠞⠈⠽⠜,⠜⠈⠞⠍⠓⠈⠞⠽⠜
बुद्ध,⠃⠥⠙⠈⠮,⠃⠥⠈⠙⠮
तत्वों,⠞⠞⠈⠧⠕⠰,⠞⠈⠞⠧⠕⠰
स्वयं,⠎⠈⠧⠽⠰,⠈⠎⠧⠽⠰
संकल्प,⠎⠰⠅⠇⠈⠏,⠎⠰⠅⠈⠇⠏
उन्नीसवीं,⠥⠝⠈⠝⠔⠎⠧⠔⠰,⠥⠈⠝⠝⠔⠎⠧⠔⠰
शताब्दी,⠩⠞⠜⠃⠈⠙⠔,⠩⠞⠜⠈⠃⠙⠔
राष्ट्रीय,⠗⠜⠯⠈⠾⠈⠗⠔⠽,⠗⠜⠈⠯⠈⠾⠗⠔⠽
इंग्लैंड,⠊⠰⠛⠈⠇⠌⠰⠫,⠊⠰⠈⠛⠇⠌⠰⠫
सम्मिलन,⠎⠍⠈⠍⠊⠇⠝,⠎⠈⠍⠍⠊⠇⠝
स्वप्न,⠎⠈⠧⠏⠈⠝,⠈⠎⠧⠈⠏⠝
भिन्न,⠘⠊⠝⠈⠝,⠘⠊⠈⠝⠝
उद्वेलित,⠥⠙⠈⠧⠑⠇⠊⠞,⠥⠈⠙⠧⠑⠇⠊⠞
सिद्धांत,⠎⠊⠙⠈⠮⠜⠰⠞,⠎⠊⠈⠙⠮⠜⠰⠞
दृष्टिकोण,⠙⠐⠗⠯⠈⠾⠊⠅⠕⠼,⠙⠐⠗⠈⠯⠾⠊⠅⠕⠼
चिह्न,⠉⠊⠓⠈⠝,⠉⠊⠈⠓⠝
बाह्य,⠃⠜⠓⠈⠽,⠃⠜⠈⠓⠽
त्याज्य,⠞⠈⠽⠜⠚⠈⠽,⠈⠞⠽⠜⠈⠚⠽
सर्वोच्च,⠎⠗⠈⠧⠕⠉⠈⠉,⠎⠈⠗⠧⠕⠈⠉⠉
दुश्मन,⠙⠥⠩⠈⠍⠝,⠙⠥⠈⠩⠍⠝
मनुष्य,⠍⠝⠥⠯⠈⠽,⠍⠝⠥⠈⠯⠽
द्वारा,⠙⠈⠧⠜⠗⠜,⠈⠙⠧⠜⠗⠜
दृष्टिकोण,⠙⠐⠗⠯⠈⠾⠊⠅⠕⠼,⠙⠐⠗⠈⠯⠾⠊⠅⠕⠼
अंधविश्वास,⠁⠰⠮⠧⠊⠩⠈⠧⠜⠎,⠁⠰⠮⠧⠊⠈⠩⠧⠜⠎
प्रक्षेपास्त्रों,⠏⠈⠗⠟⠑⠏⠜⠎⠈⠈⠞⠗⠕⠰,⠈⠏⠗⠟⠑⠏⠜⠈⠎⠈⠞⠗⠕⠰
राष्ट्र,⠗⠜⠯⠈⠾⠈⠗,⠗⠜⠈⠯⠈⠾⠗
उल्लेखनीय,⠥⠇⠈⠇⠑⠨⠝⠔⠽,⠥⠈⠇⠇⠑⠨⠝⠔⠽
विश्वयुद्ध,⠧⠊⠩⠈⠧⠽⠥⠙⠈⠮,⠧⠊⠈⠩⠧⠽⠥⠈⠙⠮
डिटेक्शन,⠫⠊⠾⠑⠅⠈⠩⠝,⠫⠊⠾⠑⠈⠅⠩⠝
महत्त्वपूर्ण,⠍⠓⠞⠈⠞⠈⠧⠏⠳⠗⠈⠼,⠍⠓⠈⠞⠈⠞⠧⠏⠳⠈⠗⠼
गोष्ठियों,⠛⠕⠯⠈⠺⠊⠽⠕⠰,⠛⠕⠈⠯⠺⠊⠽⠕⠰
भक्ति,⠘⠅⠈⠞⠊,⠘⠈⠅⠞⠊
दूरदर्शन,⠙⠳⠗⠙⠗⠈⠩⠝,⠙⠳⠗⠙⠈⠗⠩⠝
इश्तिहार,⠊⠩⠈⠞⠊⠓⠜⠗,⠊⠈⠩⠞⠊⠓⠜⠗
इश्तिहार,⠊⠩⠈⠞⠊⠓⠜⠗,⠊⠈⠩⠞⠊⠓⠜⠗
माध्यम,⠍⠜⠮⠈⠽⠍,⠍⠜⠈⠮⠽⠍
मोहल्ले,⠍⠕⠓⠇⠈⠇⠑,⠍⠕⠓⠈⠇⠇⠑
वस्तुओं,⠧⠎⠈⠞⠥⠕⠰,⠧⠈⠎⠞⠥⠕⠰
स्मृति,⠎⠈⠍⠐⠗⠞⠊,⠈⠎⠍⠐⠗⠞⠊
अत्यंत,⠁⠞⠈⠽⠰⠞,⠁⠈⠞⠽⠰⠞
व्यतीत,⠧⠈⠽⠞⠔⠞,⠈⠧⠽⠞⠔⠞
अन्वेषण,⠁⠝⠈⠧⠑⠯⠼,⠁⠈⠝⠧⠑⠯⠼
आविष्कार,⠜⠧⠊⠯⠈⠅⠜⠗,⠜⠧⠊⠈⠯⠅⠜⠗
एल्वा,⠑⠇⠈⠧⠜,⠑⠈⠇⠧⠜
सम्मुख,⠎⠍⠈⠍⠥⠨,⠎⠈⠍⠍⠥⠨
संस्थापक,⠎⠰⠎⠈⠹⠜⠏⠅,⠎⠰⠈⠎⠹⠜⠏⠅
फाल्के,⠋⠜⠇⠈⠅⠑,⠋⠜⠈⠇⠅⠑
तार्किक,⠞⠜⠗⠈⠅⠊⠅,⠞⠜⠈⠗⠅⠊⠅
तार्किक,⠞⠜⠗⠈⠅⠊⠅,⠞⠜⠈⠗⠅⠊⠅
चर्चा,⠉⠗⠈⠉⠜,⠉⠈⠗⠉⠜
शब्द,⠩⠃⠈⠙,⠩⠈⠃⠙
सन्दर्भ,⠎⠝⠈⠙⠗⠈⠘,⠎⠈⠝⠙⠈⠗⠘
प्रस्ताव,⠏⠈⠗⠎⠈⠞⠜⠧,⠈⠏⠗⠈⠎⠞⠜⠧
साहित्यिक,⠎⠜⠓⠊⠞⠈⠽⠊⠅,⠎⠜⠓⠊⠈⠞⠽⠊⠅
आचार्य,⠜⠉⠜⠗⠈⠽,⠜⠉⠜⠈⠗⠽
संस्कृत,⠎⠰⠎⠈⠅⠐⠗⠞,⠎⠰⠈⠎⠅⠐⠗⠞
धार्मिक,⠮⠜⠗⠈⠍⠊⠅,⠮⠜⠈⠗⠍⠊⠅
व्याख्या,⠧⠈⠽⠜⠨⠈⠽⠜,⠈⠧⠽⠜⠈⠨⠽⠜
शताब्दी,⠩⠞⠜⠃⠈⠙⠔,⠩⠞⠜⠈⠃⠙⠔
आविष्कार,⠜⠧⠊⠯⠈⠅⠜⠗,⠜⠧⠊⠈⠯⠅⠜⠗
किन्तु,⠅⠊⠝⠈⠞⠥,⠅⠊⠈⠝⠞⠥
वास्तविक,⠧⠜⠎⠈⠞⠧⠊⠅,⠧⠜⠈⠎⠞⠧⠊⠅
माध्यम,⠍⠜⠮⠈⠽⠍,⠍⠜⠈⠮⠽⠍
साप्ताहिक,⠎⠜⠏⠈⠞⠜⠓⠊⠅,⠎⠜⠈⠏⠞⠜⠓⠊⠅
विश्व,⠧⠊⠩⠈⠧,⠧⠊⠈⠩⠧
संख्या,⠎⠰⠨⠈⠽⠜,⠎⠰⠈⠨⠽⠜
जेम्स,⠚⠑⠍⠈⠎,⠚⠑⠈⠍⠎
ऑगस्टस,⠭⠛⠎⠈⠾⠎,⠭⠛⠈⠎⠾⠎
ऑगस्टस,⠭⠛⠎⠈⠾⠎,⠭⠛⠈⠎⠾⠎
प्रतिबन्ध,⠏⠈⠗⠞⠊⠃⠝⠈⠮,⠈⠏⠗⠞⠊⠃⠈⠝⠮
उदन्त,⠥⠙⠝⠈⠞,⠥⠙⠈⠝⠞
मार्तण्ड,⠍⠜⠗⠈⠞⠼⠈⠫,⠍⠜⠈⠗⠞⠈⠼⠫
इण्डिया,⠊⠼⠈⠫⠊⠽⠜,⠊⠈⠼⠫⠊⠽⠜
इत्यादि,⠊⠞⠈⠽⠜⠙⠊,⠊⠈⠞⠽⠜⠙⠊
भास्कर,⠘⠜⠎⠈⠅⠗,⠘⠜⠈⠎⠅⠗
